# tracer: function_graph
#
# CPU  TASK/PID         DURATION                  FUNCTION CALLS
# |     |    |           |   |                     |   |   |   |
 4)    dd-83137    |               |  vfs_write() {
 4)    dd-83137    |               |    rw_verify_area() {
 4)    dd-83137    |   0.375 us    |      security_file_permission();
 4)    dd-83137    |   0.667 us    |    }
 4)    dd-83137    |   0.125 us    |    write_null();
 4)    dd-83137    |   1.167 us    |  }
 ------------------------------------------
 1)  lima-gu-1171  =>    dd-83134   
 ------------------------------------------

 1)    dd-83134    |               |  vfs_write() {
 1)    dd-83134    |               |    rw_verify_area() {
 1)    dd-83134    |   0.500 us    |      security_file_permission();
 1)    dd-83134    |   0.917 us    |    }
 1)    dd-83134    |   0.083 us    |    dynamic_might_resched();
 1)    dd-83134    |               |    shmem_file_write_iter() {
 1)    dd-83134    |   0.208 us    |      down_write();
 1)    dd-83134    |   0.166 us    |      generic_write_checks();
 1)    dd-83134    |   1.208 us    |      file_remove_privs();
 1)    dd-83134    |   0.209 us    |      file_update_time();
 1)    dd-83134    | + 11.042 us   |      generic_perform_write();
 1)    dd-83134    |   0.125 us    |      up_write();
 1)    dd-83134    | + 13.708 us   |    }
 1)    dd-83134    | + 16.333 us   |  }
 1)    dd-83134    |               |  vfs_write() {
 1)    dd-83134    |               |    rw_verify_area() {
 1)    dd-83134    |   0.208 us    |      security_file_permission();
 1)    dd-83134    |   0.375 us    |    }
 1)    dd-83134    |   0.083 us    |    dynamic_might_resched();
 1)    dd-83134    |               |    shmem_file_write_iter() {
 1)    dd-83134    |   0.125 us    |      down_write();
 1)    dd-83134    |   0.167 us    |      generic_write_checks();
 1)    dd-83134    |   0.125 us    |      file_remove_privs();
 1)    dd-83134    |   0.208 us    |      file_update_time();
 1)    dd-83134    |   0.833 us    |      generic_perform_write();
 1)    dd-83134    |   0.084 us    |      up_write();
 1)    dd-83134    |   2.083 us    |    }
 1)    dd-83134    |   2.833 us    |  }
 1)    dd-83134    |               |  vfs_write() {
 1)    dd-83134    |               |    rw_verify_area() {
 1)    dd-83134    |   0.250 us    |      security_file_permission();
 1)    dd-83134    |   0.417 us    |    }
 1)    dd-83134    |   0.083 us    |    write_null();
 1)    dd-83134    |   0.792 us    |  }
 1)    dd-83134    |               |  vfs_write() {
 1)    dd-83134    |               |    rw_verify_area() {
 1)    dd-83134    |   0.250 us    |      security_file_permission();
 1)    dd-83134    |   0.375 us    |    }
 1)    dd-83134    |   0.084 us    |    write_null();
 1)    dd-83134    |   0.750 us    |  }
